id,nombre,efecto,velocidad,descripcion
GLU,Glutamato,Excitatorio,2.5,"Principal mediador de información sensorial y motora."
GABA,Ácido Gamma-aminobutírico,Inhibitorio,1.2,"Reduce la actividad neuronal; control del estrés."
ACH,Acetilcolina,Excitatorio,2.0,"Fundamental para la memoria y activación muscular."
DA,Dopamina,Modulador,1.5,"Regula el placer, recompensa y la motivación."
5HT,Serotonina,Modulador,1.0,"Influye en el estado de ánimo y ciclo del sueño."
NE,Norepinefrina,Excitatorio,1.8,"Relacionado con la atención y respuesta de alerta."
GLY,Glicina,Inhibitorio,1.1,"Principal inhibidor en la médula espinal."
HIS,Histamina,Excitatorio,1.4,"Regula el despertar y la atención."
ASP,Aspartato,Excitatorio,2.3,"Estimulante cerebral similar al glutamato."
EPI,Epinefrina,Excitatorio,2.0,"Respuesta de estrés agudo (adrenalina)."
OX,Oxitocina,Modulador,0.8,"Vinculación social y confianza."
VAS,Vasopresina,Modulador,0.9,"Regula la homeostasis y el comportamiento social."
SUBP,Sustancia P,Excitatorio,0.7,"Transmisión de señales de dolor."
MET,Met-encefalina,Inhibitorio,0.6,"Opioide endógeno que reduce el dolor."
LEU,Leu-encefalina,Inhibitorio,0.6,"Regulación de la respuesta al dolor."
B-END,Beta-endorfina,Inhibitorio,0.5,"Produce euforia y analgesia natural."
SOM,Somatostatina,Modulador,0.7,"Inhibe la secreción de hormonas y modula neuronas."
CCK,Colecistoquinina,Modulador,0.9,"Relacionado con la saciedad y ansiedad."
NPY,Neuropéptido Y,Modulador,1.0,"Estimula el apetito y reduce la ansiedad."
GAL,Galanina,Modulador,0.8,"Implicado en el aprendizaje y el sueño."
VIP,Péptido Vasoactivo Int.,Modulador,1.1,"Regula ritmos circadianos."
TRH,Hormona Liberadora Tir.,Excitatorio,1.3,"Estimula el metabolismo neuronal."
CRH,Hormona Lib. Cortico.,Excitatorio,1.2,"Coordinador central de la respuesta al estrés."
GNRH,Hormona Lib. Gonado.,Modulador,0.7,"Regulación del comportamiento reproductivo."
ADEN,Adenosina,Inhibitorio,0.4,"Induce el sueño y suprime el despertar."
ATP,Adenosín trifosfato,Excitatorio,2.2,"Co-transmisor en sinapsis rápidas."
NO,Óxido Nítrico,Modulador,3.0,"Gas que difunde libremente (retroalimentación)."
CO,Monóxido de Carbono,Modulador,2.8,"Mensajero gaseoso de larga distancia."
AEA,Anandamida,Modulador,0.6,"Cannabinoide endógeno; regula el apetito y ánimo."
MEL,Melatonina,Inhibitorio,0.5,"Regula el ciclo circadiano sueño-vigilia."
OREX,Orexina (Hipocretina),Excitatorio,1.9,"Mantiene el estado de vigilia."
NPS,Neuropéptido S,Excitatorio,1.6,"Aumenta el estado de alerta y reduce el miedo."
